SMILES,C,H,N
[C]1[C]#[C][CH]=[CH]1,5,2,0
[C]1[C]#[C][CH]=[N]1,4,1,1
[C]1[C]#[C][CH][CH2]1,5,3,0
[C]1[C]#[C][CH][CH]1,5,2,0
[C]1[C]#[C][CH][NH]1,4,2,1
[C]1[C]#[C][CH][N]1,4,1,1
[C]1[C]#[C][C]#[C]1,5,0,0
[C]1[C]#[C][C]=[CH]1,5,1,0
[C]1[C]#[C][C]=[N]1,4,0,1
[C]1[C]#[C][C][CH2]1,5,2,0
[C]1[C]#[C][C][CH]1,5,1,0
[C]1[C]#[C][C][NH]1,4,1,1
[C]1[C]#[C][C][N]1,4,0,1
[C]1[C]#[C][NH][CH2]1,4,3,1
[C]1[C]#[C][NH][CH]1,4,2,1
[C]1[C]#[C][NH][NH]1,3,2,2
[C]1[C]#[C][NH][N]1,3,1,2
[C]1[C]#[C][N]=[CH]1,4,1,1
[C]1[C]#[C][N]=[N]1,3,0,2
[C]1[C]#[C][N][CH2]1,4,2,1
[C]1[C]#[C][N][CH]1,4,1,1
[C]1[C]#[C][N][NH]1,3,1,2
[C]1[C]#[C][N][N]1,3,0,2
[C]1[C]23[CH2][C]12[CH2]3,5,4,0
[C]1[C]23[CH2][C]12[NH]3,4,3,1
[C]1[C]23[CH2][C]12[N]3,4,2,1
[C]1[C]23[CH]4[CH]2[C]143,5,2,0
[C]1[C]23[CH]4[N]2[C]143,4,1,1
[C]1[C]23[CH][C]12[CH2]3,5,3,0
[C]1[C]23[CH][C]12[CH]3,5,2,0
[C]1[C]23[CH][C]12[NH]3,4,2,1
[C]1[C]23[CH][C]12[N]3,4,1,1
[C]1[C]23[C]4=[C]2[C]143,5,0,0
[C]1[C]23[C]4[CH]2[C]143,5,1,0
[C]1[C]23[C]4[C]2[C]143,5,0,0
[C]1[C]23[C]4[N]2[C]143,4,0,1
[C]1[C]23[C][C]12[CH2]3,5,2,0
[C]1[C]23[C][C]12[CH]3,5,1,0
[C]1[C]23[C][C]12[C]3,5,0,0
[C]1[C]23[C][C]12[NH]3,4,1,1
[C]1[C]23[C][C]12[N]3,4,0,1
[C]1[C]23[NH][C]12[NH]3,3,2,2
[C]1[C]23[N]4[N]2[C]143,3,0,2
[C]1[C]23[N][C]12[NH]3,3,1,2
[C]1[C]23[N][C]12[N]3,3,0,2
[C]1[C]2=[CH][CH2][CH]12,5,4,0
[C]1[C]2=[CH][CH2][N]12,4,3,1
[C]1[C]2=[CH][CH]1[CH2]2,5,4,0
[C]1[C]2=[CH][CH]1[CH]2,5,3,0
[C]1[C]2=[CH][CH]1[C]2,5,2,0
[C]1[C]2=[CH][CH]1[NH]2,4,3,1
[C]1[C]2=[CH][CH]1[N]2,4,2,1
[C]1[C]2=[CH][CH]=[C]12,5,2,0
[C]1[C]2=[CH][CH][CH]12,5,3,0
[C]1[C]2=[CH][CH][N]12,4,2,1
[C]1[C]2=[CH][C]1=[CH]2,5,2,0
[C]1[C]2=[CH][C]1=[N]2,4,1,1
[C]1[C]2=[CH][NH][CH]12,4,3,1
[C]1[C]2=[CH][N]1[CH2]2,4,3,1
[C]1[C]2=[CH][N]1[CH]2,4,2,1
[C]1[C]2=[CH][N]1[C]2,4,1,1
[C]1[C]2=[CH][N]1[N]2,3,1,2
[C]1[C]2=[CH][N]=[C]12,4,1,1
[C]1[C]2=[CH][N][CH]12,4,2,1
[C]1[C]2=[CH][N][N]12,3,1,2
[C]1[C]2=[C]1[CH2][CH2]2,5,4,0
[C]1[C]2=[C]1[CH2][CH]2,5,3,0
[C]1[C]2=[C]1[CH]=[CH]2,5,2,0
[C]1[C]2=[C]1[CH]=[C]2,5,1,0
[C]1[C]2=[C]1[CH][CH]2,5,2,0
[C]1[C]2=[C]1[C]#[C]2,5,0,0
[C]1[C]2=[C]1[C]=[C]2,5,0,0
[C]1[C]2=[C]1[NH][CH2]2,4,3,1
[C]1[C]2=[C]1[NH][CH]2,4,2,1
[C]1[C]2=[C]1[NH][N]2,3,1,2
[C]1[C]2=[C]1[N]=[CH]2,4,1,1
[C]1[C]2=[C]1[N]=[C]2,4,0,1
[C]1[C]2=[C]1[N]=[N]2,3,0,2
[C]1[C]2=[C]1[N][CH2]2,4,2,1
[C]1[C]2=[C]1[N][CH]2,4,1,1
[C]1[C]2=[C]1[N][N]2,3,0,2
[C]1[C]2=[C]3[CH2][C]123,5,2,0
[C]1[C]2=[C]3[CH]1[CH]23,5,2,0
[C]1[C]2=[C]3[CH]1[N]23,4,1,1
[C]1[C]2=[C]3[CH]2[N]13,4,1,1
[C]1[C]2=[C]3[CH][C]123,5,1,0
[C]1[C]2=[C]3[C]1=[C]23,5,0,0
[C]1[C]2=[C]3[C]2[CH]13,5,1,0
[C]1[C]2=[C]3[C]2[N]13,4,0,1
[C]1[C]2=[C]3[C][C]123,5,0,0
[C]1[C]2=[C]3[NH][C]123,4,1,1
[C]1[C]2=[C]3[N][C]123,4,0,1
[C]1[C]2=[C]=[CH][CH]12,5,2,0
[C]1[C]2=[C]=[CH][N]12,4,1,1
[C]1[C]2=[C]=[C]1[CH2]2,5,2,0
[C]1[C]2=[C]=[C]1[CH]2,5,1,0
[C]1[C]2=[C]=[C]1[C]2,5,0,0
[C]1[C]2=[C]=[C]1[NH]2,4,1,1
[C]1[C]2=[C]=[C]1[N]2,4,0,1
[C]1[C]2=[C]=[C]=[C]12,5,0,0
[C]1[C]2=[C]=[C][CH]12,5,1,0
[C]1[C]2=[C]=[C][N]12,4,0,1
[C]1[C]2=[C]=[N][CH]12,4,1,1
[C]1[C]2=[C]=[N][N]12,3,0,2
[C]1[C]2=[C][CH2][CH]12,5,3,0
[C]1[C]2=[C][CH2][N]12,4,2,1
[C]1[C]2=[C][CH]1[CH2]2,5,3,0
[C]1[C]2=[C][CH]1[CH]2,5,2,0
[C]1[C]2=[C][CH]1[C]2,5,1,0
[C]1[C]2=[C][CH]1[NH]2,4,2,1
[C]1[C]2=[C][CH]1[N]2,4,1,1
[C]1[C]2=[C][CH]=[C]12,5,1,0
[C]1[C]2=[C][CH][CH]12,5,2,0
[C]1[C]2=[C][CH][N]12,4,1,1
[C]1[C]2=[C][C]1=[CH]2,5,1,0
[C]1[C]2=[C][C]1=[C]2,5,0,0
[C]1[C]2=[C][C]1=[N]2,4,0,1
[C]1[C]2=[C][C]=[C]12,5,0,0
[C]1[C]2=[C][NH][CH]12,4,2,1
[C]1[C]2=[C][N]1[CH2]2,4,2,1
[C]1[C]2=[C][N]1[CH]2,4,1,1
[C]1[C]2=[C][N]1[C]2,4,0,1
[C]1[C]2=[C][N]1[N]2,3,0,2
[C]1[C]2=[C][N]=[C]12,4,0,1
[C]1[C]2=[C][N][CH]12,4,1,1
[C]1[C]2=[C][N][N]12,3,0,2
[C]1[C]2=[N][CH2][CH]12,4,3,1
[C]1[C]2=[N][CH2][N]12,3,2,2
[C]1[C]2=[N][CH]1[CH2]2,4,3,1
[C]1[C]2=[N][CH]1[CH]2,4,2,1
[C]1[C]2=[N][CH]1[C]2,4,1,1
[C]1[C]2=[N][CH]1[NH]2,3,2,2
[C]1[C]2=[N][CH]1[N]2,3,1,2
[C]1[C]2=[N][CH][CH]12,4,2,1
[C]1[C]2=[N][CH][N]12,3,1,2
[C]1[C]2=[N][C]1=[N]2,3,0,2
[C]1[C]2=[N][NH][CH]12,3,2,2
[C]1[C]2=[N][N]1[CH2]2,3,2,2
[C]1[C]2=[N][N]1[CH]2,3,1,2
[C]1[C]2=[N][N]1[C]2,3,0,2
[C]1[C]2=[N][N]1[N]2,2,0,3
[C]1[C]2=[N][N]=[C]12,3,0,2
[C]1[C]2=[N][N][CH]12,3,1,2
[C]1[C]2=[N][N][N]12,2,0,3
[C]1[C]2[CH2][CH2][CH]12,5,5,0
[C]1[C]2[CH2][CH2][C]12,5,4,0
[C]1[C]2[CH2][CH2][N]12,4,4,1
[C]1[C]2[CH2][CH]1[CH2]2,5,5,0
[C]1[C]2[CH2][CH]1[NH]2,4,4,1
[C]1[C]2[CH2][CH]1[N]2,4,3,1
[C]1[C]2[CH2][CH]=[C]12,5,3,0
[C]1[C]2[CH2][CH][CH]12,5,4,0
[C]1[C]2[CH2][CH][N]12,4,3,1
[C]1[C]2[CH2][C]1=[N]2,4,2,1
[C]1[C]2[CH2][C]1[CH2]2,5,4,0
[C]1[C]2[CH2][C]1[NH]2,4,3,1
[C]1[C]2[CH2][C]1[N]2,4,2,1
[C]1[C]2[CH2][C]=[C]12,5,2,0
[C]1[C]2[CH2][NH][CH]12,4,4,1
[C]1[C]2[CH2][NH][C]12,4,3,1
[C]1[C]2[CH2][NH][N]12,3,3,2
[C]1[C]2[CH2][N]1[CH2]2,4,4,1
[C]1[C]2[CH2][N]1[NH]2,3,3,2
[C]1[C]2[CH2][N]1[N]2,3,2,2
[C]1[C]2[CH2][N]=[C]12,4,2,1
[C]1[C]2[CH2][N][CH]12,4,3,1
[C]1[C]2[CH2][N][C]12,4,2,1
[C]1[C]2[CH2][N][N]12,3,2,2
[C]1[C]2[CH]3[CH2][C]123,5,3,0
[C]1[C]2[CH]3[CH]1[CH]23,5,3,0
[C]1[C]2[CH]3[CH]1[N]23,4,2,1
[C]1[C]2[CH]3[CH]2[N]13,4,2,1
[C]1[C]2[CH]3[CH][C]123,5,2,0
[C]1[C]2[CH]3[C]1[CH]23,5,2,0
[C]1[C]2[CH]3[C]1[N]23,4,1,1
[C]1[C]2[CH]3[C][C]123,5,1,0
[C]1[C]2[CH]3[NH][C]123,4,2,1
[C]1[C]2[CH]3[N]1[N]23,3,1,2
[C]1[C]2[CH]3[N][C]123,4,1,1
[C]1[C]2[CH]=[CH][CH]12,5,3,0
[C]1[C]2[CH]=[CH][C]12,5,2,0
[C]1[C]2[CH]=[CH][N]12,4,2,1
[C]1[C]2[CH]=[C]1[CH2]2,5,3,0
[C]1[C]2[CH]=[C]1[NH]2,4,2,1
[C]1[C]2[CH]=[C]1[N]2,4,1,1
[C]1[C]2[CH]=[C]=[C]12,5,1,0
[C]1[C]2[CH]=[C][CH]12,5,2,0
[C]1[C]2[CH]=[C][N]12,4,1,1
[C]1[C]2[CH]=[N][CH]12,4,2,1
[C]1[C]2[CH]=[N][C]12,4,1,1
[C]1[C]2[CH]=[N][N]12,3,1,2
[C]1[C]2[CH][CH2][CH]12,5,4,0
[C]1[C]2[CH][CH2][C]12,5,3,0
[C]1[C]2[CH][CH2][N]12,4,3,1
[C]1[C]2[CH][CH]1[CH2]2,5,4,0
[C]1[C]2[CH][CH]1[CH]2,5,3,0
[C]1[C]2[CH][CH]1[NH]2,4,3,1
[C]1[C]2[CH][CH]1[N]2,4,2,1
[C]1[C]2[CH][CH]=[C]12,5,2,0
[C]1[C]2[CH][CH][CH]12,5,3,0
[C]1[C]2[CH][CH][C]12,5,2,0
[C]1[C]2[CH][CH][N]12,4,2,1
[C]1[C]2[CH][C]1=[CH]2,5,2,0
[C]1[C]2[CH][C]1=[N]2,4,1,1
[C]1[C]2[CH][C]1[CH2]2,5,3,0
[C]1[C]2[CH][C]1[CH]2,5,2,0
[C]1[C]2[CH][C]1[NH]2,4,2,1
[C]1[C]2[CH][C]1[N]2,4,1,1
[C]1[C]2[CH][C]=[C]12,5,1,0
[C]1[C]2[CH][NH][CH]12,4,3,1
[C]1[C]2[CH][NH][C]12,4,2,1
[C]1[C]2[CH][NH][N]12,3,2,2
[C]1[C]2[CH][N]1[CH2]2,4,3,1
[C]1[C]2[CH][N]1[CH]2,4,2,1
[C]1[C]2[CH][N]1[NH]2,3,2,2
[C]1[C]2[CH][N]1[N]2,3,1,2
[C]1[C]2[CH][N]=[C]12,4,1,1
[C]1[C]2[CH][N][CH]12,4,2,1
[C]1[C]2[CH][N][C]12,4,1,1
[C]1[C]2[CH][N][N]12,3,1,2
[C]1[C]2[C]#[C][CH]12,5,1,0
[C]1[C]2[C]#[C][C]12,5,0,0
[C]1[C]2[C]#[C][N]12,4,0,1
[C]1[C]2[C]3=[CH][C]123,5,1,0
[C]1[C]2[C]3=[C]1[CH]23,5,1,0
[C]1[C]2[C]3=[C]1[N]23,4,0,1
[C]1[C]2[C]3=[C]2[CH]13,5,1,0
[C]1[C]2[C]3=[C]2[C]13,5,0,0
[C]1[C]2[C]3=[C]2[N]13,4,0,1
[C]1[C]2[C]3=[C][C]123,5,0,0
[C]1[C]2[C]3=[N][C]123,4,0,1
[C]1[C]2[C]3[CH2][C]123,5,2,0
[C]1[C]2[C]3[CH]1[CH]23,5,2,0
[C]1[C]2[C]3[CH]1[N]23,4,1,1
[C]1[C]2[C]3[CH]2[N]13,4,1,1
[C]1[C]2[C]3[CH][C]123,5,1,0
[C]1[C]2[C]3[C]1=[C]23,5,0,0
[C]1[C]2[C]3[C]1[CH]23,5,1,0
[C]1[C]2[C]3[C]1[C]23,5,0,0
[C]1[C]2[C]3[C]1[N]23,4,0,1
[C]1[C]2[C]3[C]2[CH]13,5,1,0
[C]1[C]2[C]3[C]2[N]13,4,0,1
[C]1[C]2[C]3[C][C]123,5,0,0
[C]1[C]2[C]3[NH][C]123,4,1,1
[C]1[C]2[C]3[N]1[N]23,3,0,2
[C]1[C]2[C]3[N][C]123,4,0,1
[C]1[C]2[C]=[CH][CH]12,5,2,0
[C]1[C]2[C]=[CH][C]12,5,1,0
[C]1[C]2[C]=[CH][N]12,4,1,1
[C]1[C]2[C]=[C]1[CH2]2,5,2,0
[C]1[C]2[C]=[C]1[CH]2,5,1,0
[C]1[C]2[C]=[C]1[NH]2,4,1,1
[C]1[C]2[C]=[C]1[N]2,4,0,1
[C]1[C]2[C]=[C]=[C]12,5,0,0
[C]1[C]2[C]=[C][CH]12,5,1,0
[C]1[C]2[C]=[C][C]12,5,0,0
[C]1[C]2[C]=[C][N]12,4,0,1
[C]1[C]2[C]=[N][CH]12,4,1,1
[C]1[C]2[C]=[N][C]12,4,0,1
[C]1[C]2[C]=[N][N]12,3,0,2
[C]1[C]2[C][CH]1[CH2]2,5,3,0
[C]1[C]2[C][CH]1[CH]2,5,2,0
[C]1[C]2[C][CH]1[C]2,5,1,0
[C]1[C]2[C][CH]1[NH]2,4,2,1
[C]1[C]2[C][CH]1[N]2,4,1,1
[C]1[C]2[C][C]1=[CH]2,5,1,0
[C]1[C]2[C][C]1=[C]2,5,0,0
[C]1[C]2[C][C]1=[N]2,4,0,1
[C]1[C]2[C][C]1[CH2]2,5,2,0
[C]1[C]2[C][C]1[CH]2,5,1,0
[C]1[C]2[C][C]1[C]2,5,0,0
[C]1[C]2[C][C]1[NH]2,4,1,1
[C]1[C]2[C][C]1[N]2,4,0,1
[C]1[C]2[C][N]1[CH2]2,4,2,1
[C]1[C]2[C][N]1[CH]2,4,1,1
[C]1[C]2[C][N]1[C]2,4,0,1
[C]1[C]2[C][N]1[NH]2,3,1,2
[C]1[C]2[C][N]1[N]2,3,0,2
[C]1[C]2[NH][CH2][CH]12,4,4,1
[C]1[C]2[NH][CH2][N]12,3,3,2
[C]1[C]2[NH][CH]1[NH]2,3,3,2
[C]1[C]2[NH][CH]=[C]12,4,2,1
[C]1[C]2[NH][CH][CH]12,4,3,1
[C]1[C]2[NH][CH][N]12,3,2,2
[C]1[C]2[NH][C]1[NH]2,3,2,2
[C]1[C]2[NH][C]=[C]12,4,1,1
[C]1[C]2[NH][NH][CH]12,3,3,2
[C]1[C]2[NH][NH][C]12,3,2,2
[C]1[C]2[NH][NH][N]12,2,2,3
[C]1[C]2[NH][N]1[NH]2,2,2,3
[C]1[C]2[NH][N]=[C]12,3,1,2
[C]1[C]2[NH][N][CH]12,3,2,2
[C]1[C]2[NH][N][N]12,2,1,3
[C]1[C]2[N]3[CH2][C]123,4,2,1
[C]1[C]2[N]3[CH]1[N]23,3,1,2
[C]1[C]2[N]3[CH][C]123,4,1,1
[C]1[C]2[N]3[C]1[N]23,3,0,2
[C]1[C]2[N]3[C][C]123,4,0,1
[C]1[C]2[N]3[NH][C]123,3,1,2
[C]1[C]2[N]3[N][C]123,3,0,2
[C]1[C]2[N]=[CH][CH]12,4,2,1
[C]1[C]2[N]=[CH][N]12,3,1,2
[C]1[C]2[N]=[C]1[NH]2,3,1,2
[C]1[C]2[N]=[C]=[C]12,4,0,1
[C]1[C]2[N]=[C][CH]12,4,1,1
[C]1[C]2[N]=[C][N]12,3,0,2
[C]1[C]2[N]=[N][CH]12,3,1,2
[C]1[C]2[N]=[N][C]12,3,0,2
[C]1[C]2[N]=[N][N]12,2,0,3
[C]1[C]2[N][CH2][CH]12,4,3,1
[C]1[C]2[N][CH2][N]12,3,2,2
[C]1[C]2[N][CH]1[NH]2,3,2,2
[C]1[C]2[N][CH]1[N]2,3,1,2
[C]1[C]2[N][CH]=[C]12,4,1,1
[C]1[C]2[N][CH][CH]12,4,2,1
[C]1[C]2[N][CH][N]12,3,1,2
[C]1[C]2[N][C]1=[N]2,3,0,2
[C]1[C]2[N][C]1[NH]2,3,1,2
[C]1[C]2[N][C]1[N]2,3,0,2
[C]1[C]2[N][C]=[C]12,4,0,1
[C]1[C]2[N][NH][CH]12,3,2,2
[C]1[C]2[N][NH][C]12,3,1,2
[C]1[C]2[N][NH][N]12,2,1,3
[C]1[C]2[N][N]1[NH]2,2,1,3
[C]1[C]2[N][N]1[N]2,2,0,3
[C]1[C]2[N][N]=[C]12,3,0,2
[C]1[C]2[N][N][CH]12,3,1,2
[C]1[C]2[N][N][C]12,3,0,2
[C]1[C]2[N][N][N]12,2,0,3
[C]1[C]2[n]3[n]1[n]32,2,0,3
[C]1[C]=[CH][CH2][CH2]1,5,5,0
[C]1[C]=[CH][CH2][CH]1,5,4,0
[C]1[C]=[CH][CH2][NH]1,4,4,1
[C]1[C]=[CH][CH2][N]1,4,3,1
[C]1[C]=[CH][CH]=[CH]1,5,3,0
[C]1[C]=[CH][CH]=[C]1,5,2,0
[C]1[C]=[CH][CH]=[N]1,4,2,1
[C]1[C]=[CH][CH][CH2]1,5,4,0
[C]1[C]=[CH][CH][CH]1,5,3,0
[C]1[C]=[CH][CH][NH]1,4,3,1
[C]1[C]=[CH][CH][N]1,4,2,1
[C]1[C]=[CH][C]#[C]1,5,1,0
[C]1[C]=[CH][C]=[CH]1,5,2,0
[C]1[C]=[CH][C]=[N]1,4,1,1
[C]1[C]=[CH][C][CH2]1,5,3,0
[C]1[C]=[CH][C][CH]1,5,2,0
[C]1[C]=[CH][C][NH]1,4,2,1
[C]1[C]=[CH][C][N]1,4,1,1
[C]1[C]=[CH][NH][CH2]1,4,4,1
[C]1[C]=[CH][NH][CH]1,4,3,1
[C]1[C]=[CH][NH][NH]1,3,3,2
[C]1[C]=[CH][NH][N]1,3,2,2
[C]1[C]=[CH][N]=[CH]1,4,2,1
[C]1[C]=[CH][N]=[C]1,4,1,1
[C]1[C]=[CH][N]=[N]1,3,1,2
[C]1[C]=[CH][N][CH2]1,4,3,1
[C]1[C]=[CH][N][CH]1,4,2,1
[C]1[C]=[CH][N][NH]1,3,2,2
[C]1[C]=[CH][N][N]1,3,1,2
[C]1[C]=[C]2[CH2][CH]12,5,3,0
[C]1[C]=[C]2[CH2][C]12,5,2,0
[C]1[C]=[C]2[CH2][N]12,4,2,1
[C]1[C]=[C]2[CH]=[C]12,5,1,0
[C]1[C]=[C]2[CH][CH]12,5,2,0
[C]1[C]=[C]2[CH][C]12,5,1,0
[C]1[C]=[C]2[CH][N]12,4,1,1
[C]1[C]=[C]2[C]=[C]12,5,0,0
[C]1[C]=[C]2[C][CH]12,5,1,0
[C]1[C]=[C]2[C][C]12,5,0,0
[C]1[C]=[C]2[C][N]12,4,0,1
[C]1[C]=[C]2[NH][CH]12,4,2,1
[C]1[C]=[C]2[NH][C]12,4,1,1
[C]1[C]=[C]2[NH][N]12,3,1,2
[C]1[C]=[C]2[N]=[C]12,4,0,1
[C]1[C]=[C]2[N][CH]12,4,1,1
[C]1[C]=[C]2[N][C]12,4,0,1
[C]1[C]=[C]2[N][N]12,3,0,2
[C]1[C]=[C]=[CH][CH2]1,5,3,0
[C]1[C]=[C]=[CH][CH]1,5,2,0
[C]1[C]=[C]=[CH][NH]1,4,2,1
[C]1[C]=[C]=[CH][N]1,4,1,1
[C]1[C]=[C]=[C]=[CH]1,5,1,0
[C]1[C]=[C]=[C]=[C]1,5,0,0
[C]1[C]=[C]=[C]=[N]1,4,0,1
[C]1[C]=[C]=[C][CH2]1,5,2,0
[C]1[C]=[C]=[C][CH]1,5,1,0
[C]1[C]=[C]=[C][NH]1,4,1,1
[C]1[C]=[C]=[C][N]1,4,0,1
[C]1[C]=[C]=[N][CH2]1,4,2,1
[C]1[C]=[C]=[N][CH]1,4,1,1
[C]1[C]=[C]=[N][NH]1,3,1,2
[C]1[C]=[C]=[N][N]1,3,0,2
[C]1[C]=[C][CH2][CH2]1,5,4,0
[C]1[C]=[C][CH2][CH]1,5,3,0
[C]1[C]=[C][CH2][NH]1,4,3,1
[C]1[C]=[C][CH2][N]1,4,2,1
[C]1[C]=[C][CH]=[CH]1,5,2,0
[C]1[C]=[C][CH]=[C]1,5,1,0
[C]1[C]=[C][CH]=[N]1,4,1,1
[C]1[C]=[C][CH][CH2]1,5,3,0
[C]1[C]=[C][CH][CH]1,5,2,0
[C]1[C]=[C][CH][NH]1,4,2,1
[C]1[C]=[C][CH][N]1,4,1,1
[C]1[C]=[C][C]#[C]1,5,0,0
[C]1[C]=[C][C]=[CH]1,5,1,0
[C]1[C]=[C][C]=[C]1,5,0,0
[C]1[C]=[C][C]=[N]1,4,0,1
[C]1[C]=[C][C][CH2]1,5,2,0
[C]1[C]=[C][C][CH]1,5,1,0
[C]1[C]=[C][C][NH]1,4,1,1
[C]1[C]=[C][C][N]1,4,0,1
[C]1[C]=[C][NH][CH2]1,4,3,1
[C]1[C]=[C][NH][CH]1,4,2,1
[C]1[C]=[C][NH][NH]1,3,2,2
[C]1[C]=[C][NH][N]1,3,1,2
[C]1[C]=[C][N]=[CH]1,4,1,1
[C]1[C]=[C][N]=[C]1,4,0,1
[C]1[C]=[C][N]=[N]1,3,0,2
[C]1[C]=[C][N][CH2]1,4,2,1
[C]1[C]=[C][N][CH]1,4,1,1
[C]1[C]=[C][N][NH]1,3,1,2
[C]1[C]=[C][N][N]1,3,0,2
[C]1[C]=[N][CH2][CH2]1,4,4,1
[C]1[C]=[N][CH2][CH]1,4,3,1
[C]1[C]=[N][CH2][NH]1,3,3,2
[C]1[C]=[N][CH2][N]1,3,2,2
[C]1[C]=[N][CH]=[CH]1,4,2,1
[C]1[C]=[N][CH]=[N]1,3,1,2
[C]1[C]=[N][CH][CH2]1,4,3,1
[C]1[C]=[N][CH][CH]1,4,2,1
[C]1[C]=[N][CH][NH]1,3,2,2
[C]1[C]=[N][CH][N]1,3,1,2
[C]1[C]=[N][C]#[C]1,4,0,1
[C]1[C]=[N][C]=[CH]1,4,1,1
[C]1[C]=[N][C]=[N]1,3,0,2
[C]1[C]=[N][C][CH2]1,4,2,1
[C]1[C]=[N][C][CH]1,4,1,1
[C]1[C]=[N][C][NH]1,3,1,2
[C]1[C]=[N][C][N]1,3,0,2
[C]1[C]=[N][NH][CH2]1,3,3,2
[C]1[C]=[N][NH][CH]1,3,2,2
[C]1[C]=[N][NH][NH]1,2,2,3
[C]1[C]=[N][NH][N]1,2,1,3
[C]1[C]=[N][N]=[CH]1,3,1,2
[C]1[C]=[N][N]=[C]1,3,0,2
[C]1[C]=[N][N]=[N]1,2,0,3
[C]1[C]=[N][N][CH2]1,3,2,2
[C]1[C]=[N][N][CH]1,3,1,2
[C]1[C]=[N][N][NH]1,2,1,3
[C]1[C]=[N][N][N]1,2,0,3
[C]1[C][CH2][CH2][CH2]1,5,6,0
[C]1[C][CH2][CH2][CH]1,5,5,0
[C]1[C][CH2][CH2][C]1,5,4,0
[C]1[C][CH2][CH]=[CH]1,5,4,0
[C]1[C][CH2][CH]=[C]1,5,3,0
[C]1[C][CH2][CH][CH2]1,5,5,0
[C]1[C][CH2][CH][CH]1,5,4,0
[C]1[C][CH2][C]#[C]1,5,2,0
[C]1[C][CH2][C]=[CH]1,5,3,0
[C]1[C][CH2][C]=[C]1,5,2,0
[C]1[C][CH2][C][CH2]1,5,4,0
[C]1[C][CH2][C][CH]1,5,3,0
[C]1[C][CH2][NH][CH2]1,4,5,1
[C]1[C][CH2][NH][CH]1,4,4,1
[C]1[C][CH2][NH][C]1,4,3,1
[C]1[C][CH2][N]=[CH]1,4,3,1
[C]1[C][CH2][N]=[C]1,4,2,1
[C]1[C][CH2][N][CH2]1,4,4,1
[C]1[C][CH2][N][CH]1,4,3,1
[C]1[C][CH2][N][C]1,4,2,1
[C]1[C][CH]2[CH2][CH]12,5,4,0
[C]1[C][CH]2[CH2][C]12,5,3,0
[C]1[C][CH]2[CH]=[C]12,5,2,0
[C]1[C][CH]2[CH][CH]12,5,3,0
[C]1[C][CH]2[CH][C]12,5,2,0
[C]1[C][CH]2[C]=[C]12,5,1,0
[C]1[C][CH]2[C][CH]12,5,2,0
[C]1[C][CH]2[C][C]12,5,1,0
[C]1[C][CH]2[NH][CH]12,4,3,1
[C]1[C][CH]2[NH][C]12,4,2,1
[C]1[C][CH]2[N]=[C]12,4,1,1
[C]1[C][CH]2[N][CH]12,4,2,1
[C]1[C][CH]2[N][C]12,4,1,1
[C]1[C][CH]=[CH][CH]1,5,3,0
[C]1[C][CH]=[CH][C]1,5,2,0
[C]1[C][CH]=[C]=[CH]1,5,2,0
[C]1[C][CH]=[C]=[C]1,5,1,0
[C]1[C][CH]=[C][CH]1,5,2,0
[C]1[C][CH]=[N][CH]1,4,2,1
[C]1[C][CH]=[N][C]1,4,1,1
[C]1[C][CH][CH2][CH]1,5,4,0
[C]1[C][CH][CH2][C]1,5,3,0
[C]1[C][CH][CH]=[C]1,5,2,0
[C]1[C][CH][CH][CH]1,5,3,0
[C]1[C][CH][CH][C]1,5,2,0
[C]1[C][CH][C]#[C]1,5,1,0
[C]1[C][CH][C]=[C]1,5,1,0
[C]1[C][CH][C][CH]1,5,2,0
[C]1[C][CH][NH][CH]1,4,3,1
[C]1[C][CH][NH][C]1,4,2,1
[C]1[C][CH][N]=[C]1,4,1,1
[C]1[C][CH][N][CH]1,4,2,1
[C]1[C][CH][N][C]1,4,1,1
[C]1[C][C]#[C][C]1,5,0,0
[C]1[C][C]12[CH2][CH2]2,5,4,0
[C]1[C][C]12[CH2][NH]2,4,3,1
[C]1[C][C]12[CH2][N]2,4,2,1
[C]1[C][C]12[CH]=[CH]2,5,2,0
[C]1[C][C]12[CH]=[N]2,4,1,1
[C]1[C][C]12[CH][CH2]2,5,3,0
[C]1[C][C]12[CH][CH]2,5,2,0
[C]1[C][C]12[CH][NH]2,4,2,1
[C]1[C][C]12[CH][N]2,4,1,1
[C]1[C][C]12[C]#[C]2,5,0,0
[C]1[C][C]12[C]=[CH]2,5,1,0
[C]1[C][C]12[C]=[C]2,5,0,0
[C]1[C][C]12[C]=[N]2,4,0,1
[C]1[C][C]12[C][CH2]2,5,2,0
[C]1[C][C]12[C][CH]2,5,1,0
[C]1[C][C]12[C][C]2,5,0,0
[C]1[C][C]12[C][NH]2,4,1,1
[C]1[C][C]12[C][N]2,4,0,1
[C]1[C][C]12[NH][NH]2,3,2,2
[C]1[C][C]12[N]=[N]2,3,0,2
[C]1[C][C]12[N][NH]2,3,1,2
[C]1[C][C]12[N][N]2,3,0,2
[C]1[C][C]2=[CH][C]12,5,1,0
[C]1[C][C]2=[C]1[CH2]2,5,2,0
[C]1[C][C]2=[C]1[CH]2,5,1,0
[C]1[C][C]2=[C]1[C]2,5,0,0
[C]1[C][C]2=[C]1[NH]2,4,1,1
[C]1[C][C]2=[C]1[N]2,4,0,1
[C]1[C][C]2=[C]=[C]12,5,0,0
